manip,subject,session,order,mm,tm,trialType,iti,fixDur,stimDur,nBlock,nTrial,alpha,present,targType,nItems,resp,acc,rt,confidence,estNItems,estTime,confidenceRT,estNItemsRT,estTimeRT,RecRT,Erreur,Rec2Type,RecRT2,Rec2,couleur,Prime,CordCible,CordPrime,Yes/No,AV/AP,Diff,PostTest,DiffTime,RECORDING_SESSION_LABEL,AVERAGE_FIXATION_DURATION,AVERAGE_SACCADE_AMPLITUDE,BUTTON_PRESS_COUNT,DURATION,FIXATION_COUNT,SACCADE_COUNT,training,task,trialId
vs12,hugo,4,2,17-janv-13,1454,Ent1,500,400,2000,1,1,3.79721770073,0,L,4,a,1,340,,,,,,,,,,,,Rouge,0,3,0,0,,,0,1758,HUGO,222.14,5.78,2,1894,7,6,0,L among T,1
vs12,hugo,4,2,17-janv-13,1454,Ent1,500,400,2000,1,2,0.518255832522,0,X,4,N,0,1500,,,,,,,,,,,,Rouge,0,4,0,0,,,0,784,HUGO,203.5,5.83,2,920,4,3,0,X among T,2
vs12,hugo,4,2,17-janv-13,1454,Ent1,500,400,2000,1,3,2.03017224423,1,L,8,N,0,1500,,,,,,,,,,,,Rouge,0,7,0,0,,,0,0,HUGO,182.18,6.91,2,3149,11,10,0,L among T,3
vs12,hugo,4,2,17-janv-13,1454,Ent1,500,400,2000,1,4,2.44388932911,1,L,4,a,1,642,,,,,,,,,,,,Rouge,0,1,0,0,,,0,1358,HUGO,174.57,7.73,2,1492,7,6,0,L among T,4
vs12,hugo,4,2,17-janv-13,1454,Ent1,500,400,2000,1,5,2.30189103224,0,X,8,a,1,736,,,,,,,,,,,,Rouge,0,7,0,0,,,0,1308,HUGO,173.14,6.53,2,1444,7,6,0,X among T,5
vs12,hugo,4,2,17-janv-13,1454,Ent1,500,400,2000,1,6,3.18943221214,1,L,16,a,1,655,,,,,,,,,,,,Rouge,0,15,0,0,,,0,868,HUGO,173.8,3.48,2,1002,5,4,0,L among T,6
vs12,hugo,4,2,17-janv-13,1454,Ent1,500,400,2000,1,7,4.15596475355,0,X,16,z,1,347,,,,,,,,,,,,Vert,0,15,0,0,,,0,1440,HUGO,82.33,13.67,2,1574,3,2,0,X among T,7
vs12,hugo,4,2,17-janv-13,1454,Ent1,500,400,2000,1,8,5.33182196658,0,L,8,z,1,452,,,,,,,,,,,,Vert,0,8,0,0,,,0,994,HUGO,185.6,0,2,1133,5,5,0,L among T,8
vs12,hugo,4,2,17-janv-13,1454,Ent1,500,400,2000,1,9,3.15460290398,1,X,8,z,1,314,,,,,,,,,,,,Vert,0,4,0,0,,,0,1539,HUGO,163,6.27,2,1673,8,8,0,X among T,9
vs12,hugo,4,2,17-janv-13,1454,Ent1,500,400,2000,1,10,0.0102878127692,1,X,4,z,1,294,,,,,,,,,,,,Vert,0,2,0,0,,,0,1249,HUGO,281,2.41,2,1383,4,3,0,X among T,10
vs12,hugo,4,2,17-janv-13,1455,Ent1,500,400,2000,1,11,2.52364028597,1,X,16,a,1,309,,,,,,,,,,,,Rouge,0,14,0,0,,,0,1959,HUGO,176.88,0,0,2096,8,8,0,X among T,11
vs12,hugo,4,2,17-janv-13,1455,Ent1,500,400,2000,1,12,2.95380074476,0,L,16,a,1,632,,,,,,,,,,,,Rouge,0,11,0,0,,,0,1725,HUGO,200,4.92,2,1863,6,5,0,L among T,12
vs12,hugo,4,2,17-janv-13,1455,Ent1,500,400,2000,1,1,3.4648317935,0,L,4,a,1,310,,,,,,,,,,,,Rouge,0,4,0,0,,,0,384,HUGO,216,7.54,2,520,2,1,0,L among T,13
vs12,hugo,4,2,17-janv-13,1455,Ent1,500,400,2000,1,2,4.20944891868,0,X,4,a,1,821,,,,,,,,,,,,Rouge,0,4,0,0,,,0,677,HUGO,172.5,2.28,2,812,4,4,0,X among T,14
vs12,hugo,4,2,17-janv-13,1455,Ent1,500,400,2000,1,3,4.96645790255,1,L,8,a,1,589,,,,,,,,,,,,Rouge,0,6,0,0,,,0,981,HUGO,183.5,0,2,1119,4,4,0,L among T,15
vs12,hugo,4,2,17-janv-13,1455,Ent1,500,400,2000,1,4,5.94580694819,1,L,4,a,1,561,,,,,,,,,,,,Rouge,0,1,0,0,,,0,1351,HUGO,248.8,2.02,2,1486,5,4,0,L among T,16
vs12,hugo,4,2,17-janv-13,1455,Ent1,500,400,2000,1,5,3.74375134784,0,X,8,N,0,1500,,,,,,,,,,,,Rouge,0,7,0,0,,,0,0,HUGO,235.36,6.48,2,3151,11,10,0,X among T,17
vs12,hugo,4,2,17-janv-13,1455,Ent1,500,400,2000,1,6,2.68901803594,1,L,16,N,0,1500,,,,,,,,,,,,Rouge,0,14,0,0,,,0,0,HUGO,175.17,7.36,2,3143,12,12,0,L among T,18
vs12,hugo,4,2,17-janv-13,1455,Ent1,500,400,2000,1,7,2.91635480993,0,X,16,a,1,926,,,,,,,,,,,,Rouge,0,3,0,0,,,0,594,HUGO,206.67,12.24,2,733,3,2,0,X among T,19
vs12,hugo,4,2,17-janv-13,1455,Ent1,500,400,2000,1,8,1.36958307816,0,L,8,N,0,1500,,,,,,,,,,,,Rouge,0,3,0,0,,,0,0,HUGO,202.5,6.93,2,3152,12,11,0,L among T,20
vs12,hugo,4,2,17-janv-13,1455,Ent1,500,400,2000,1,9,3.35947294542,1,X,8,z,1,591,,,,,,,,,,,,Vert,0,2,0,0,,,0,2413,HUGO,212.44,4.88,2,2547,9,8,0,X among T,21
vs12,hugo,4,2,17-janv-13,1455,Ent1,500,400,2000,1,10,0.8619108329,1,X,4,z,1,452,,,,,,,,,,,,Vert,0,2,0,0,,,0,686,HUGO,197.67,4.83,2,823,3,2,0,X among T,22
vs12,hugo,4,2,17-janv-13,1456,Ent1,500,400,2000,1,11,4.7812484743,1,X,16,a,1,585,,,,,,,,,,,,Rouge,0,3,0,0,,,0,1220,HUGO,206.2,5.4,2,1355,5,4,0,X among T,23
vs12,hugo,4,2,17-janv-13,1456,Ent1,500,400,2000,1,12,5.41181200204,0,L,16,N,0,1500,,,,,,,,,,,,Rouge,0,9,0,0,,,0,0,HUGO,216.88,0,2,3146,8,8,0,L among T,24
vs12,hugo,4,2,17-janv-13,1456,Ent1,500,400,2000,1,1,5.07596852071,0,L,4,a,1,739,,,,,,,,,,,,Rouge,0,4,0,0,,,0,852,HUGO,228,0,2,989,3,3,0,L among T,25
vs12,hugo,4,2,17-janv-13,1456,Ent1,500,400,2000,1,2,4.56190809531,0,X,4,a,1,454,,,,,,,,,,,,Rouge,0,4,0,0,,,0,772,HUGO,123.8,7.43,2,906,5,4,0,X among T,26
vs12,hugo,4,2,17-janv-13,1456,Ent1,500,400,2000,1,3,2.02641104967,1,L,8,z,1,590,,,,,,,,,,,,Vert,0,5,0,0,,,0,804,HUGO,188.5,0,2,939,4,4,0,L among T,27
vs12,hugo,4,2,17-janv-13,1456,Ent1,500,400,2000,1,4,1.48727925126,1,L,4,z,1,601,,,,,,,,,,,,Vert,0,4,0,0,,,0,826,HUGO,286.67,5.53,2,961,3,3,0,L among T,28
vs12,hugo,4,2,17-janv-13,1456,Ent1,500,400,2000,1,5,3.17907737696,0,X,8,a,1,506,,,,,,,,,,,,Rouge,0,1,0,0,,,0,1458,HUGO,141.86,4.63,2,1594,7,6,0,X among T,29
vs12,hugo,4,2,17-janv-13,1456,Ent1,500,400,2000,1,6,1.15392134649,1,L,16,N,0,1500,,,,,,,,,,,,Vert,0,9,0,0,,,0,0,HUGO,192.38,4.07,0,3143,13,12,0,L among T,30
vs12,hugo,4,2,17-janv-13,1456,Ent1,500,400,2000,1,7,4.41167172715,0,X,16,z,1,474,,,,,,,,,,,,Vert,0,12,0,0,,,0,1957,HUGO,188.56,4.02,2,2091,9,8,0,X among T,31
vs12,hugo,4,2,17-janv-13,1456,Ent1,500,400,2000,1,8,5.91991001504,0,L,8,a,1,626,,,,,,,,,,,,Rouge,0,4,0,0,,,0,1496,HUGO,201,5.25,2,1633,6,5,0,L among T,32
vs12,hugo,4,2,17-janv-13,1456,Ent1,500,400,2000,1,9,4.45114880258,1,X,8,z,1,495,,,,,,,,,,,,Vert,0,7,0,0,,,0,663,HUGO,120.5,4.84,2,797,4,4,0,X among T,33
vs12,hugo,4,2,17-janv-13,1456,Ent1,500,400,2000,1,10,2.41508482013,1,X,4,z,1,547,,,,,,,,,,,,Vert,0,3,0,0,,,0,580,HUGO,214,3.55,2,715,3,2,0,X among T,34
vs12,hugo,4,2,17-janv-13,1457,Ent1,500,400,2000,1,11,1.30099562847,1,X,16,a,1,858,,,,,,,,,,,,Rouge,0,6,0,0,,,0,1312,HUGO,187.33,5.85,2,1449,6,5,0,X among T,35
vs12,hugo,4,2,17-janv-13,1457,Ent1,500,400,2000,1,12,1.86362179419,0,L,16,z,1,624,,,,,,,,,,,,Vert,0,12,0,0,,,0,0,HUGO,179.71,0,2,3150,14,14,0,L among T,36
vs12,hugo,4,2,17-janv-13,1459,Ent2,500,400,2000,1,1,1.09674112975,0,L,8,N,0,1500,,,,,,,,,A,10390,2,Vert,0,8,0,0,,,0,0,HUGO,230.73,4.74,2,3152,11,10,0,L among T,37
vs12,hugo,4,2,17-janv-13,1459,Ent2,500,400,2000,1,2,3.61091543997,1,L,16,N,0,1500,,,,,,,,,C,3793,6,Vert,0,15,0,0,,,0,0,HUGO,222.33,5.71,2,3147,12,12,0,L among T,38
vs12,hugo,4,2,17-janv-13,1459,Ent2,500,400,2000,1,3,4.3009704765,1,X,8,z,1,718,,,,,,,,,A,3330,2,Vert,0,6,0,0,,,0,1426,HUGO,177.86,8.06,2,1560,7,7,0,X among T,39
vs12,hugo,4,2,17-janv-13,1459,Ent2,500,400,2000,1,4,2.94671980859,0,L,4,a,1,961,,,,,,,,,A,3897,2,Rouge,0,3,0,0,,,0,2604,HUGO,255.89,6.08,0,2743,9,8,0,L among T,40
vs12,hugo,4,2,17-janv-13,1459,Ent2,500,400,2000,1,5,1.42481817881,0,X,16,N,0,1500,,,,,,,,,A,6109,3,Vert,0,16,0,0,,,0,0,HUGO,262.7,4.39,2,3149,10,9,0,X among T,41
vs12,hugo,4,2,17-janv-13,1500,Ent2,500,400,2000,1,6,3.0675907285,1,L,8,z,1,547,,,,,,,,,A,2274,2,Vert,0,7,0,0,,,0,2576,HUGO,239.89,4.11,2,2711,9,8,0,L among T,42
vs12,hugo,4,2,17-janv-13,1500,Ent2,500,400,2000,1,7,4.23199325265,1,X,16,z,1,581,,,,,,,,,B,2553,4,Vert,0,2,0,0,,,0,1877,HUGO,325.8,0,2,2015,5,5,0,X among T,43
vs12,hugo,4,2,17-janv-13,1500,Ent2,500,400,2000,1,8,6.04086434943,0,L,16,a,1,536,,,,,,,,,A,2148,2,Rouge,0,10,0,0,,,0,1613,HUGO,292,3.87,2,1748,5,4,0,L among T,44
vs12,hugo,4,2,17-janv-13,1500,Ent2,500,400,2000,1,9,5.47580155993,0,X,4,a,1,394,,,,,,,,,C,1914,6,Rouge,0,2,0,0,,,0,1010,HUGO,186.8,6.55,2,1147,5,4,0,X among T,45
vs12,hugo,4,2,17-janv-13,1500,Ent2,500,400,2000,1,10,3.28486766388,1,L,4,z,1,868,,,,,,,,,C,1877,6,Vert,0,1,0,0,,,0,0,HUGO,457.5,3.71,2,3147,6,5,0,L among T,46
vs12,hugo,4,2,17-janv-13,1500,Ent2,500,400,2000,1,11,2.60349656182,0,X,8,z,1,513,,,,,,,,,A,3916,3,Vert,0,4,0,0,,,0,0,HUGO,250.8,4.53,2,3150,10,9,0,X among T,47
vs12,hugo,4,2,17-janv-13,1500,Ent2,500,400,2000,1,12,3.73997991036,1,X,4,N,0,1500,,,,,,,,,A,7350,3,Vert,0,3,0,0,,,0,0,HUGO,299.5,2.84,2,3146,8,7,0,X among T,48
vs12,hugo,4,2,17-janv-13,1502,mixed,500,400,2000,1,1,0.933657822723,0,X,4,N,0,1500,,,,,,,,,A,6570,2,Rouge,0,3,0,0,,,0,0,HUGO,329.12,16.51,2,3174,8,8,0,X among T,49
vs12,hugo,4,2,17-janv-13,1502,mixed,500,400,2000,1,2,4.32166401431,0,L,4,a,1,268,,,,,,,,,A,2107,0,Rouge,0,4,0,0,,,0,565,HUGO,154,1.93,2,702,4,3,0,L among T,50
vs12,hugo,4,2,17-janv-13,1503,mixed,500,400,2000,1,3,5.28133721891,0,L,8,z,1,298,,,,,,,,,C,2412,6,Vert,0,4,0,0,,,0,1193,HUGO,187.5,6.02,2,1326,6,5,0,L among T,51
vs12,hugo,4,2,17-janv-13,1503,mixed,500,400,2000,1,4,0.290766773088,0,X,4,z,1,306,,,,,,,,,D,1757,9,Vert,0,3,0,0,,,0,1192,HUGO,185.33,7.3,0,1327,6,5,0,X among T,52
vs12,hugo,4,2,17-janv-13,1503,mixed,500,400,2000,1,5,1.19440863277,0,L,16,N,0,1500,,,,,,,,,D,1419,9,Vert,0,15,0,0,,,0,0,HUGO,187.43,6.22,2,3146,14,13,0,L among T,53
vs12,hugo,4,2,17-janv-13,1503,mixed,500,400,2000,1,6,2.43825613297,0,L,4,z,1,626,,,,,,,,,C,2249,6,Vert,0,2,0,0,,,0,911,HUGO,175,5.06,2,1048,4,4,0,L among T,54
vs12,hugo,4,2,17-janv-13,1503,mixed,500,400,2000,1,7,3.40823776204,0,X,16,a,1,561,,,,,,,,,D,2157,9,Rouge,0,4,0,0,,,0,2385,HUGO,222.3,4.23,2,2521,10,9,0,X among T,55
vs12,hugo,4,2,17-janv-13,1503,mixed,500,400,2000,1,8,4.56716339122,1,L,16,a,1,891,,,,,,,,,C,1784,6,Rouge,0,10,0,0,,,0,1992,HUGO,209.11,4.64,2,2126,9,8,0,L among T,56
vs12,hugo,4,2,17-janv-13,1503,mixed,500,400,2000,1,9,0.309924708751,1,X,8,a,1,369,,,,,,,,,A,2154,3,Rouge,0,2,0,0,,,0,988,HUGO,252.75,5.03,2,1125,4,3,0,X among T,57
vs12,hugo,4,2,17-janv-13,1503,mixed,500,400,2000,1,10,3.53989029726,0,X,4,a,1,415,,,,,,,,,A,2268,1,Rouge,0,1,0,0,,,0,1192,HUGO,274,5.15,0,1331,4,3,0,X among T,58
vs12,hugo,4,2,17-janv-13,1503,mixed,500,400,2000,1,11,2.52977647609,1,X,8,a,1,934,,,,,,,,,A,1567,2,Rouge,0,8,0,0,,,0,1543,HUGO,368.5,4.29,2,1680,4,3,0,X among T,59
vs12,hugo,4,2,17-janv-13,1503,mixed,500,400,2000,1,12,3.75677399524,1,L,4,z,1,339,,,,,,,,,A,2041,2,Vert,0,3,0,0,,,0,662,HUGO,319,7.68,2,799,2,1,0,L among T,60
vs12,hugo,4,2,17-janv-13,1504,mixed,500,400,2000,1,13,6.03717928386,0,L,8,a,1,250,,,,,,,,,A,3001,1,Rouge,0,3,0,0,,,0,1007,HUGO,224.25,3.04,2,1145,4,3,0,L among T,61
vs12,hugo,4,2,17-janv-13,1504,mixed,500,400,2000,1,14,4.76360104613,1,L,4,z,1,338,,,,,,,,,A,6357,2,Vert,0,2,0,0,,,0,630,HUGO,231.67,3.34,2,763,3,2,0,L among T,62
vs12,hugo,4,2,17-janv-13,1504,mixed,500,400,2000,1,15,3.08047440848,0,X,16,z,1,1067,,,,,,,,,C,1419,7,Vert,0,6,0,0,,,0,2158,HUGO,198.6,4.47,2,2291,10,9,0,X among T,63
vs12,hugo,4,2,17-janv-13,1504,mixed,500,400,2000,1,16,0.517833290992,0,X,16,z,1,696,,,,,,,,,A,1166,1,Vert,0,12,0,0,,,0,988,HUGO,177,5.18,0,1126,5,4,0,X among T,64
vs12,hugo,4,2,17-janv-13,1504,mixed,500,400,2000,1,17,0.18355601071,0,L,16,a,1,437,,,,,,,,,A,1084,0,Rouge,0,11,0,0,,,0,851,HUGO,222.75,3.76,2,990,4,3,0,L among T,65
vs12,hugo,4,2,17-janv-13,1504,mixed,500,400,2000,1,18,2.2772140737,1,L,4,a,1,714,,,,,,,,,A,1190,0,Rouge,0,4,0,0,,,0,458,HUGO,269.5,7.81,2,591,2,1,0,L among T,66
vs12,hugo,4,2,17-janv-13,1504,mixed,500,400,2000,1,19,2.59210011704,1,L,16,a,1,511,,,,,,,,,A,1531,2,Rouge,0,4,0,0,,,0,876,HUGO,227.75,3.56,2,1012,4,3,0,L among T,67
vs12,hugo,4,2,17-janv-13,1504,mixed,500,400,2000,1,20,4.24663966058,0,L,4,a,1,476,,,,,,,,,A,1862,0,Rouge,0,3,0,0,,,0,666,HUGO,242.33,3.59,2,800,3,2,0,L among T,68
vs12,hugo,4,2,17-janv-13,1504,mixed,500,400,2000,1,21,3.42896964216,0,X,8,z,1,529,,,,,,,,,A,2653,3,Vert,0,8,0,0,,,0,1229,HUGO,184.83,6.03,2,1367,6,5,0,X among T,69
vs12,hugo,4,2,17-janv-13,1505,mixed,500,400,2000,1,22,4.69285817705,1,X,4,a,1,373,,,,,,,,,A,1402,0,Rouge,0,3,0,0,,,0,547,HUGO,202,3.8,2,681,3,2,0,X among T,70
vs12,hugo,4,2,17-janv-13,1505,mixed,500,400,2000,1,23,1.65230472178,1,L,16,z,1,497,,,,,,,,,A,1336,1,Vert,0,16,0,0,,,0,776,HUGO,156.6,4.22,2,913,5,4,0,L among T,71
vs12,hugo,4,2,17-janv-13,1505,mixed,500,400,2000,1,24,0.89646314694,1,X,8,z,1,345,,,,,,,,,A,4728,3,Vert,0,8,0,0,,,0,1056,HUGO,208.6,5.52,2,1193,5,4,0,X among T,72
vs12,hugo,4,2,17-janv-13,1505,mixed,500,400,2000,1,25,2.36530147626,1,L,8,z,1,588,,,,,,,,,A,1968,0,Vert,0,7,0,0,,,0,448,HUGO,227,4.19,2,586,2,1,0,L among T,73
vs12,hugo,4,2,17-janv-13,1505,mixed,500,400,2000,1,26,2.32995376396,0,L,8,z,1,729,,,,,,,,,A,1525,0,Vert,0,6,0,0,,,0,617,HUGO,225.33,4.36,2,753,3,2,0,L among T,74
vs12,hugo,4,2,17-janv-13,1505,mixed,500,400,2000,1,27,5.56201373569,1,X,4,z,1,464,,,,,,,,,B,2036,4,Vert,0,2,0,0,,,0,773,HUGO,245.33,6.15,2,910,3,2,0,X among T,75
vs12,hugo,4,2,17-janv-13,1505,mixed,500,400,2000,1,28,1.79879349364,1,X,16,a,1,629,,,,,,,,,A,3117,3,Rouge,0,13,0,0,,,0,1992,HUGO,203.33,4.87,2,2129,9,9,0,X among T,76
vs12,hugo,4,2,17-janv-13,1505,mixed,500,400,2000,1,29,0.964709639817,0,X,8,z,1,982,,,,,,,,,A,1819,2,Vert,0,7,0,0,,,0,976,HUGO,310.67,4.59,2,1110,3,2,0,X among T,77
vs12,hugo,4,2,17-janv-13,1505,mixed,500,400,2000,1,30,4.2741724328,1,X,16,z,1,1281,,,,,,,,,A,3747,2,Vert,0,14,0,0,,,0,1412,HUGO,363.75,3.79,2,1550,4,3,0,X among T,78
vs12,hugo,4,2,17-janv-13,1506,mixed,500,400,2000,1,31,0.502042686662,0,X,8,z,1,469,,,,,,,,,A,1738,0,Vert,0,3,0,0,,,0,579,HUGO,155,3.46,2,714,4,3,0,X among T,79
vs12,hugo,4,2,17-janv-13,1506,mixed,500,400,2000,1,32,0.401691604622,1,X,4,a,1,402,,,,,,,,,A,1517,0,Rouge,0,3,0,0,,,0,634,HUGO,231.67,3.82,0,771,3,2,0,X among T,80
vs12,hugo,4,2,17-janv-13,1506,mixed,500,400,2000,1,33,3.7316149479,1,X,16,a,1,398,,,,,,,,,A,1822,1,Rouge,0,1,0,0,,,0,573,HUGO,205.33,6.08,2,706,3,2,0,X among T,81
vs12,hugo,4,2,17-janv-13,1506,mixed,500,400,2000,1,34,2.22367448201,1,L,8,z,1,374,,,,,,,,,C,1338,6,Vert,0,8,0,0,,,0,1409,HUGO,271.2,5.12,2,1547,5,5,0,L among T,82
vs12,hugo,4,2,17-janv-13,1506,mixed,500,400,2000,1,35,4.85120015796,1,L,8,a,1,509,,,,,,,,,A,1494,0,Rouge,0,5,0,0,,,0,468,HUGO,276.5,6.42,2,602,2,1,0,L among T,83
vs12,hugo,4,2,17-janv-13,1506,mixed,500,400,2000,1,36,1.53929786782,0,L,16,z,0,452,,,,,,,,,A,4239,1,Rouge,0,9,0,0,,,0,779,HUGO,275,5.17,2,913,3,2,0,L among T,84
vs12,hugo,4,2,17-janv-13,1509,mixed,500,400,2000,2,1,2.92524598019,0,X,16,N,0,1500,,,,,,,,,A,1960,1,Rouge,0,3,0,0,,,0,0,HUGO,202.75,13.62,2,3170,8,7,0,X among T,85
vs12,hugo,4,2,17-janv-13,1509,mixed,500,400,2000,2,2,4.74849133071,0,L,4,z,1,652,,,,,,,,,A,2552,0,Vert,0,2,0,0,,,0,503,HUGO,292.5,8.31,2,640,2,1,0,L among T,86
vs12,hugo,4,2,17-janv-13,1509,mixed,500,400,2000,2,3,5.00997777728,1,L,16,z,1,1170,,,,,,,,,C,3309,6,Vert,0,11,0,0,,,0,1294,HUGO,203.17,6.44,2,1427,6,5,0,L among T,87
vs12,hugo,4,2,17-janv-13,1509,mixed,500,400,2000,2,4,2.39736443949,0,L,8,a,1,405,,,,,,,,,A,1872,2,Rouge,0,1,0,0,,,0,667,HUGO,372,9.36,2,801,2,1,0,L among T,88
vs12,hugo,4,2,17-janv-13,1509,mixed,500,400,2000,2,5,3.36640490148,0,X,8,z,1,630,,,,,,,,,A,1793,1,Vert,0,7,0,0,,,0,712,HUGO,238.33,0,2,847,3,3,0,X among T,89
vs12,hugo,4,2,17-janv-13,1509,mixed,500,400,2000,2,6,3.39980294277,0,X,16,a,1,562,,,,,,,,,A,1518,0,Rouge,0,8,0,0,,,0,551,HUGO,207.67,3.37,2,687,3,2,0,X among T,90
vs12,hugo,4,2,17-janv-13,1510,mixed,500,400,2000,2,7,0.333785197017,1,L,16,z,1,652,,,,,,,,,C,1510,6,Vert,0,16,0,0,,,0,1899,HUGO,189.33,5.25,0,2035,9,9,0,L among T,91
vs12,hugo,4,2,17-janv-13,1510,mixed,500,400,2000,2,8,4.34961135814,1,X,16,z,1,456,,,,,,,,,B,3304,5,Vert,0,7,0,0,,,0,1215,HUGO,199,3.36,2,1349,6,5,0,X among T,92
vs12,hugo,4,2,17-janv-13,1510,mixed,500,400,2000,2,9,5.7679851688,1,X,8,a,1,510,,,,,,,,,A,1534,3,Rouge,0,4,0,0,,,0,943,HUGO,282.67,5.93,0,1080,3,2,0,X among T,93
vs12,hugo,4,2,17-janv-13,1510,mixed,500,400,2000,2,10,4.67759700689,1,L,4,a,1,446,,,,,,,,,C,2790,7,Rouge,0,4,0,0,,,0,806,HUGO,266.67,4.8,2,944,3,2,0,L among T,94
vs12,hugo,4,2,17-janv-13,1510,mixed,500,400,2000,2,11,4.24409926684,1,L,4,z,1,379,,,,,,,,,A,1231,2,Vert,0,1,0,0,,,0,808,HUGO,182,5.74,2,943,4,3,0,L among T,95
vs12,hugo,4,2,17-janv-13,1510,mixed,500,400,2000,2,12,5.05227316963,0,L,4,a,1,319,,,,,,,,,B,1514,5,Rouge,0,2,0,0,,,0,507,HUGO,179.33,10.16,2,643,3,2,0,L among T,96
vs12,hugo,4,2,17-janv-13,1510,mixed,500,400,2000,2,13,3.0879331769,0,X,8,z,1,743,,,,,,,,,A,1774,3,Vert,0,7,0,0,,,0,1076,HUGO,270.25,6.18,2,1211,4,3,0,X among T,97
vs12,hugo,4,2,17-janv-13,1510,mixed,500,400,2000,2,14,5.67723811931,0,L,16,a,1,1379,,,,,,,,,C,2133,6,Rouge,0,5,0,0,,,0,2221,HUGO,222.89,6.6,2,2353,9,8,0,L among T,98
vs12,hugo,4,2,17-janv-13,1510,mixed,500,400,2000,2,15,5.46179848512,0,L,8,z,1,514,,,,,,,,,A,1204,3,Vert,0,7,0,0,,,0,1123,HUGO,220,5.47,2,1261,5,4,0,L among T,99
vs12,hugo,4,2,17-janv-13,1510,mixed,500,400,2000,2,16,2.01734181775,0,L,4,a,1,335,,,,,,,,,A,2151,0,Rouge,0,1,0,0,,,0,390,HUGO,232.5,7.31,2,525,2,1,0,L among T,100
vs12,hugo,4,2,17-janv-13,1511,mixed,500,400,2000,2,17,3.91634417199,1,X,4,a,1,533,,,,,,,,,A,1418,0,Rouge,0,3,0,0,,,0,643,HUGO,234.33,3.97,2,778,3,2,0,X among T,101
vs12,hugo,4,2,17-janv-13,1511,mixed,500,400,2000,2,18,4.54175724836,1,L,8,a,1,362,,,,,,,,,B,2571,5,Rouge,0,5,0,0,,,0,1489,HUGO,204.71,4.29,2,1626,7,6,0,L among T,102
vs12,hugo,4,2,17-janv-13,1511,mixed,500,400,2000,2,19,1.47205148964,0,X,4,z,1,447,,,,,,,,,A,1839,0,Vert,0,1,0,0,,,0,469,HUGO,258,2.85,2,603,2,2,0,X among T,103
vs12,hugo,4,2,17-janv-13,1511,mixed,500,400,2000,2,20,0.302551100417,1,L,8,a,1,358,,,,,,,,,A,2938,1,Rouge,0,8,0,0,,,0,759,HUGO,271.67,5.34,2,898,3,2,0,L among T,104
vs12,hugo,4,2,17-janv-13,1511,mixed,500,400,2000,2,21,0.0199900881827,0,X,16,a,1,976,,,,,,,,,A,3291,3,Rouge,0,4,0,0,,,0,950,HUGO,224.25,5.74,0,1086,4,3,0,X among T,105
vs12,hugo,4,2,17-janv-13,1511,mixed,500,400,2000,2,22,0.450868775081,0,X,4,z,1,447,,,,,,,,,A,4487,2,Vert,0,4,0,0,,,0,427,HUGO,248.5,12.55,2,563,2,1,0,X among T,106
vs12,hugo,4,2,17-janv-13,1511,mixed,500,400,2000,2,23,3.49650789624,1,X,8,z,1,446,,,,,,,,,A,1510,1,Vert,0,5,0,0,,,0,593,HUGO,211,4.33,2,727,3,2,0,X among T,107
vs12,hugo,4,2,17-janv-13,1511,mixed,500,400,2000,2,24,1.84267174706,1,X,4,z,1,348,,,,,,,,,C,1057,6,Vert,0,4,0,0,,,0,517,HUGO,189,4.99,2,653,3,2,0,X among T,108
vs12,hugo,4,2,17-janv-13,1511,mixed,500,400,2000,2,25,5.27128273754,0,X,8,a,1,624,,,,,,,,,A,3204,1,Rouge,0,3,0,0,,,0,611,HUGO,212.67,2.3,2,749,3,3,0,X among T,109
vs12,hugo,4,2,17-janv-13,1512,mixed,500,400,2000,2,26,2.30729737417,0,L,16,a,1,1318,,,,,,,,,D,2023,8,Rouge,0,15,0,0,,,0,2429,HUGO,218.4,6.12,2,2565,10,10,0,L among T,110
vs12,hugo,4,2,17-janv-13,1512,mixed,500,400,2000,2,27,6.11363776425,1,L,8,a,1,872,,,,,,,,,A,1443,3,Rouge,0,4,0,0,,,0,586,HUGO,206.33,9.77,2,720,3,2,0,L among T,111
vs12,hugo,4,2,17-janv-13,1512,mixed,500,400,2000,2,28,4.55758955102,1,X,16,a,1,497,,,,,,,,,A,1170,1,Rouge,0,12,0,0,,,0,671,HUGO,225.67,5.47,2,808,3,3,0,X among T,112
vs12,hugo,4,2,17-janv-13,1512,mixed,500,400,2000,2,29,2.23429776976,0,X,4,z,1,543,,,,,,,,,A,1706,0,Vert,0,1,0,0,,,0,451,HUGO,253,4.14,2,587,2,2,0,X among T,113
vs12,hugo,4,2,17-janv-13,1512,mixed,500,400,2000,2,30,5.18673827365,1,X,16,z,1,966,,,,,,,,,A,1551,0,Vert,0,2,0,0,,,0,578,HUGO,214,4.05,0,714,3,2,0,X among T,114
vs12,hugo,4,2,17-janv-13,1512,mixed,500,400,2000,2,31,1.99833481914,1,L,16,a,1,495,,,,,,,,,A,1340,2,Rouge,0,11,0,0,,,0,1496,HUGO,248.5,2.72,2,1629,6,5,0,L among T,115
vs12,hugo,4,2,17-janv-13,1512,mixed,500,400,2000,2,32,0.468922250687,1,L,4,z,1,314,,,,,,,,,B,3306,5,Vert,0,4,0,0,,,0,796,HUGO,202.75,5.69,2,930,4,3,0,L among T,116
